u_id,q_id,student_key_stage,question_difficulty,subject,topic,question,correct_answer,student_answer,rater_1,rater_2,rater_3,human_agree,ground_truth,fewshot-gpt-3.5-turbo-0125,fewshot-gpt-4-0125-preview,zeroshot-gpt-3.5-turbo-0125,zeroshot-gpt-4-0125-preview,agree_fewshot-gpt-4-0125-preview
220,ScKS4H220,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,It will increase the forward reaction as that will increase the amount of yield formed,right,right,right,1,1,1,1,1,1,1
221,ScKS4H221,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,It will make more rproduct by using the reactnts,right,right,right,1,1,0,1,0,1,0
222,ScKS4H222,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,removing product makes equillibrium go rightmaking more product,right,right,right,1,1,0,1,0,1,0
223,ScKS4H223,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,It will favour the forward reaction,right,right,right,1,1,1,1,1,1,1
224,ScKS4H224,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,It will favour the forward reaction,right,right,right,1,1,1,1,1,1,1
225,ScKS4H225,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,it will seek to counteract that change,wrong,wrong,wrong,1,0,0,0,0,0,1
226,ScKS4H226,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The forward reaction is favoured and more product is formed.,right,right,right,1,1,0,1,1,1,0
227,ScKS4H227,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,favours forward reaction to produce more product,right,right,right,1,1,0,1,0,1,0
228,ScKS4H228,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The reaction will favour the forward reaction as it will cause the amount of product to increase,right,right,right,1,1,1,1,1,1,1
229,ScKS4H229,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,"She favour the forward reaction producing more
Producy",right,right,right,1,1,0,1,0,1,0
230,ScKS4H230,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,forward reaction increases to counteract the change and produce more product,right,right,right,1,1,1,1,1,1,1
231,ScKS4H231,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The system will shift to create more product,right,right,right,1,1,0,1,0,1,0
232,ScKS4H232,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,the forward reaction will increase to increase the amount of product,right,right,right,1,1,1,1,1,1,1
233,ScKS4H233,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,NOTHING,wrong,wrong,wrong,1,0,0,0,0,0,1
234,ScKS4H234,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,the forwards reaction will increase to increase the amount of product,right,right,right,1,1,1,1,1,1,1
235,ScKS4H235,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,the forward reaction will increase to increase the amount of product,right,right,right,1,1,1,1,1,1,1
237,ScKS4H237,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,"The position on equilibrium will be to the right, and more product will be formed",right,right,right,1,1,0,1,0,1,0
238,ScKS4H238,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,a forward reaction,wrong,wrong,wrong,1,0,0,0,0,0,1
239,ScKS4H239,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,Favour the forward reaction so production of the product increases,right,right,right,1,1,1,1,1,1,1
240,ScKS4H240,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,Forward reaction will increase to make more product,right,right,right,1,1,1,1,1,1,1
241,ScKS4H241,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,Favor reaction with fewer Gas molecules,wrong,wrong,wrong,1,0,0,0,0,0,1
242,ScKS4H242,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The forward reaction increases,right,right,right,1,1,1,1,1,1,1
243,ScKS4H243,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The rate of the forward reaction will increase,right,wrong,right,0,1,1,0,1,0,0
244,ScKS4H244,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The forwards would increase and from that it would increase the products,right,right,right,1,1,0,1,1,1,0
245,ScKS4H245,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The reaction will try to balance itself,wrong,wrong,wrong,1,0,0,0,0,0,1
246,ScKS4H246,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,the forward reaction will increase to produce more product,right,right,right,1,1,1,1,1,1,1
247,ScKS4H247,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,more product will be produced as the lower proportion of products to reactants will shift the equilibrium towards the products,right,right,right,1,1,0,1,1,1,0
248,ScKS4H248,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,"equilibrium goes right, making product",right,right,right,1,1,0,1,0,1,0
249,ScKS4H249,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,Forward reaction will increase,right,right,right,1,1,0,1,1,1,0
2,ScKS4E2,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that are limited,right,right,right,1,1,1,1,1,1,1
3,ScKS4E3,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that aren't infinite.,right,wrong,wrong,0,0,1,1,0,1,1
4,ScKS4E4,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,reasources that will run out,right,right,right,1,1,1,1,0,1,1
6,ScKS4E6,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resource that'll rin ouf,right,right,right,1,1,0,1,0,1,0
7,ScKS4E7,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,we use more than we make,right,wrong,wrong,0,0,0,0,0,0,1
8,ScKS4E8,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that'll run out,right,right,right,1,1,1,1,1,1,1
9,ScKS4E9,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources there are a limited amount of,wrong,wrong,wrong,1,0,1,1,1,1,1
10,ScKS4E10,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Reasources that are used faster than they are repleneshed.,right,wrong,right,0,1,0,0,0,0,1
11,ScKS4E11,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that will run out in time,right,right,right,1,1,1,1,1,1,1
12,ScKS4E12,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,finite resources are resources that will eventually run out,right,right,right,1,1,1,1,1,1,1
13,ScKS4E13,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that can run out,right,right,right,1,1,0,1,1,1,0
14,ScKS4E14,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,idgqayucbefiu;,wrong,right,wrong,0,0,0,0,0,0,1
15,ScKS4E15,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,etxrcytgvuhyjbkjnlm;,wrong,wrong,wrong,1,0,0,0,0,0,1
16,ScKS4E16,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that can't be reused,wrong,wrong,wrong,1,0,0,0,0,0,1
17,ScKS4E17,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,those that are being used up at a faster rate than they can be replaced,right,wrong,right,0,1,0,0,0,1,1
19,ScKS4E19,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Limited resources,wrong,wrong,wrong,1,0,0,0,0,0,1
20,ScKS4E20,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Limited recourse,wrong,wrong,wrong,1,0,0,0,0,0,1
21,ScKS4E21,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resrouces that run out,right,right,right,1,1,0,1,0,1,0
23,ScKS4E23,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"Resources that run out 
",right,right,right,1,1,1,1,1,1,1
24,ScKS4E24,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that run out,right,right,right,1,1,1,1,1,1,1
25,ScKS4E25,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,A non-renewable source,wrong,wrong,wrong,1,0,0,0,0,0,1
26,ScKS4E26,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Non reneweable resources that will run out,right,wrong,right,0,1,0,1,1,1,0
27,ScKS4E27,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Non renewable resources that will eventually run iut,right,wrong,right,0,1,0,1,0,1,0
28,ScKS4E28,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,A resource that will run out,right,right,right,1,1,1,1,1,1,1
29,ScKS4E29,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that cant be replaced are cant last long .,wrong,wrong,wrong,1,0,0,0,0,1,1
30,ScKS4E30,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that dont run out,wrong,wrong,wrong,1,0,0,0,0,0,1
31,ScKS4E31,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,RESOURCES WHICH WILL RUN OUT,right,right,right,1,1,1,1,1,1,1
32,ScKS4E32,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources which will run out,right,right,right,1,1,1,1,1,1,1
33,ScKS4E33,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,A non-renewable resource,wrong,wrong,wrong,1,0,0,0,0,0,1
34,ScKS4E34,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"Resources that cannot be replenished
",right,right,right,1,1,0,0,0,0,1
35,ScKS4E35,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"some thing that will run out
",wrong,wrong,wrong,1,0,0,1,0,1,0
36,ScKS4E36,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,non-renewable,wrong,wrong,wrong,1,0,0,0,0,0,1
38,ScKS4E38,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,will never run out,wrong,wrong,wrong,1,0,0,0,0,0,1
39,ScKS4E39,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Limited amounts,wrong,wrong,wrong,1,0,0,0,0,0,1
40,ScKS4E40,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,the resources that will run out,right,right,right,1,1,1,1,1,1,1
41,ScKS4E41,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,a resource that will run out,right,right,right,1,1,1,1,1,1,1
42,ScKS4E42,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Non- renewable resource,wrong,wrong,wrong,1,0,0,0,0,1,1
43,ScKS4E43,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that wont run out,wrong,wrong,wrong,1,0,0,0,0,0,1
44,ScKS4E44,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"a resource that will run out
",right,right,right,1,1,1,1,1,1,1
45,ScKS4E45,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that are going to run out,right,right,right,1,1,1,1,1,1,1
46,ScKS4E46,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,ones that will run out,right,right,right,1,1,1,1,1,1,1
49,ScKS4E49,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Ressources that would run out,wrong,right,right,0,1,0,1,0,1,0
50,ScKS4E50,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,A resource that can run out,wrong,right,right,0,1,1,1,1,1,1
51,ScKS4E51,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources which are used up faster than they are made and will not last forever,right,right,right,1,1,0,1,1,1,0
52,ScKS4E52,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that run out,wrong,wrong,wrong,1,0,1,1,1,1,1
53,ScKS4E53,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"Non-renewable, will run out quickly ",wrong,wrong,wrong,1,0,0,0,0,1,1
54,ScKS4E54,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Non renewable will run out quickly,wrong,wrong,wrong,1,0,0,0,0,1,1
55,ScKS4E55,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that will run out quickly,wrong,wrong,wrong,1,0,0,0,0,0,1
56,ScKS4E56,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,finite resources are resources that will not run out,wrong,wrong,wrong,1,0,0,0,0,0,1
57,ScKS4E57,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that won't last forever,wrong,wrong,wrong,1,0,1,1,0,1,1
58,ScKS4E58,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that will eventually run out,wrong,right,right,0,1,1,1,1,1,1
59,ScKS4E59,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Natural sources that will run out,wrong,right,right,0,1,1,1,1,1,1
60,ScKS4E60,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resource that will run out,wrong,right,right,0,1,1,1,1,1,1
63,ScKS4E63,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,ones that will run out,wrong,right,right,0,1,1,1,1,1,1
65,ScKS4E65,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Will run out,wrong,right,right,0,1,1,1,1,1,1
66,ScKS4E66,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that will eventually run out,wrong,right,right,0,1,1,1,1,1,1
67,ScKS4E67,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that will run out because they can't be replenished,right,right,right,1,1,1,1,1,1,1
68,ScKS4E68,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that run out,wrong,right,right,0,1,1,1,1,1,1
69,ScKS4E69,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resource that will run out,wrong,right,right,0,1,1,1,1,1,1
71,ScKS4E71,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that will one day run out,wrong,right,right,0,1,1,1,0,1,1
72,ScKS4E72,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that will run out and never come back,wrong,right,right,0,1,1,1,1,1,1
73,ScKS4E73,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that will eventually run out,right,right,right,1,1,1,1,1,1,1
74,ScKS4E74,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources with a limited amount,wrong,wrong,wrong,1,0,1,1,1,1,1
75,ScKS4E75,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that run out,wrong,right,right,0,1,1,1,1,1,1
76,ScKS4E76,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that run out,wrong,right,right,0,1,1,1,1,1,1
77,ScKS4E77,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Non renewable energy source,wrong,wrong,wrong,1,0,0,0,0,0,1
78,ScKS4E78,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that eventually run out,wrong,right,right,0,1,1,1,1,1,1
79,ScKS4E79,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resource that will eventually run out,wrong,right,right,0,1,1,1,1,1,1
80,ScKS4E80,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,recorces that will run out,wrong,right,right,0,1,1,1,0,1,1
81,ScKS4E81,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,recources that will eventually run out,wrong,right,right,0,1,1,1,1,1,1
82,ScKS4E82,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,a resource that will run out,wrong,right,right,0,1,1,1,1,1,1
83,ScKS4E83,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,food,wrong,right,wrong,0,0,0,0,0,0,1
84,ScKS4E84,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources we don't have a lot of,wrong,wrong,wrong,1,0,0,0,0,0,1
85,ScKS4E85,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,A resource we have a limited amount of,right,wrong,wrong,0,0,1,1,1,1,1
86,ScKS4E86,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,A rescource we use faster then it is created. A resource that is limited,right,wrong,wrong,0,0,1,1,0,1,1
87,ScKS4E87,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources which are limited and will eventually finish,wrong,right,right,0,1,1,1,1,1,1
88,ScKS4E88,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that run out,wrong,right,right,0,1,1,1,1,1,1
89,ScKS4E89,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that will eventually run out,wrong,right,right,0,1,1,1,1,1,1
90,ScKS4E90,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,won't run out,wrong,wrong,wrong,1,0,0,0,0,0,1
91,ScKS4E91,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that will eventualy run out,wrong,right,right,0,1,1,1,0,1,1
92,ScKS4E92,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,recources that will run out,wrong,right,right,0,1,1,1,0,1,1
93,ScKS4E93,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Finite resources are resources that will run out.,wrong,right,right,0,1,1,1,1,1,1
94,ScKS4E94,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that run out,wrong,right,right,0,1,1,1,1,1,1
95,ScKS4E95,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"resources being used up than the speed recovering
",right,wrong,wrong,0,0,0,0,0,0,1
96,ScKS4E96,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,concentrated or formed at a rate slowly,wrong,wrong,wrong,1,0,0,0,0,0,1
97,ScKS4E97,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,one that will run out,wrong,right,right,0,1,1,1,1,1,1
98,ScKS4E98,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that will run out eventually,wrong,right,right,0,1,1,1,1,1,1
99,ScKS4E99,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,a resource that will eventally run out,wrong,right,right,0,1,1,1,0,1,1
100,ScKS4E100,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that an run out,wrong,right,right,0,1,0,1,0,1,0
101,ScKS4E101,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that will eventualy run out,wrong,right,right,0,1,1,1,0,1,1
102,ScKS4E102,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that are limited and eventualy will run out,wrong,right,right,0,1,1,1,1,1,1
103,ScKS4E103,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,infinate resources,wrong,wrong,wrong,1,0,0,0,0,0,1
104,ScKS4E104,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,will run out,wrong,right,right,0,1,0,1,0,1,0
105,ScKS4E105,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Will end,wrong,right,right,0,1,0,0,0,0,1
106,ScKS4E106,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,reasorces that will run out,wrong,right,right,0,1,1,1,0,1,1
107,ScKS4E107,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that run out faster than we can make them,wrong,right,right,0,1,0,0,0,1,1
108,ScKS4E108,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,rescoures that can run out after used,wrong,right,right,0,1,0,1,0,1,0
109,ScKS4E109,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,One that will run out,wrong,right,right,0,1,1,1,1,1,1
110,ScKS4E110,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Recourses that will eventually run out,wrong,right,right,0,1,1,1,0,1,1
111,ScKS4E111,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"FInite resources are resources that will run out and take a very long time to be produced
",wrong,right,right,0,1,0,1,0,1,0
113,ScKS4E113,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources of which there is not an endless supply,wrong,right,right,0,1,1,1,1,1,1
114,ScKS4E114,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Will run out,wrong,right,right,0,1,0,1,1,1,0
115,ScKS4E115,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources which will eventually run out,wrong,right,right,0,1,1,1,1,1,1
116,ScKS4E116,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,A non renewable source,wrong,right,right,0,1,0,0,0,0,1
117,ScKS4E117,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,sources that is limited and will run out,wrong,right,right,0,1,1,1,1,1,1
118,ScKS4E118,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that will eventually run out,wrong,right,right,0,1,1,1,1,1,1
119,ScKS4E119,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources which won't last forever,wrong,right,right,0,1,1,1,1,1,1
120,ScKS4E120,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources which will eventually run out,wrong,right,right,0,1,1,1,1,1,1
121,ScKS4E121,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources which are being replaced and fast as they are being used and will therefore run out,wrong,wrong,wrong,1,0,0,1,0,0,0
122,ScKS4E122,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,A recourse that concentrated or formed at a rate very much slower than its rates if consumption,right,right,right,1,1,0,0,0,0,1
123,ScKS4E123,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,You can not use over and over again,wrong,wrong,wrong,1,0,0,0,0,0,1
124,ScKS4E124,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources with a limited supply,wrong,right,wrong,0,0,1,1,1,1,1
125,ScKS4E125,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,One that will run out,wrong,right,right,0,1,1,1,1,1,1
126,ScKS4E126,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"reasources that will eventually run out, non renewable ",wrong,right,right,0,1,0,1,1,1,0
127,ScKS4E127,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that will eventually run out,wrong,right,right,0,1,1,1,1,1,1
128,ScKS4E128,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"Metals, plastics and fossil fuels (coal, natural gas and oil)",wrong,wrong,wrong,1,0,0,0,0,0,1
129,ScKS4E129,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that run out,wrong,right,right,0,1,1,1,1,1,1
130,ScKS4E130,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that can run out,wrong,right,right,0,1,1,1,1,1,1
131,ScKS4E131,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,ones that will run out,wrong,right,right,0,1,1,1,1,1,1
132,ScKS4E132,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that are non-renewable and will eventually run out,wrong,right,right,0,1,1,1,1,1,1
134,ScKS4E134,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that will eventually run out,wrong,right,right,0,1,1,1,1,1,1
136,ScKS4E136,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Limited,wrong,wrong,wrong,1,0,0,0,0,0,1
137,ScKS4E137,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Limited,wrong,wrong,wrong,1,0,0,0,0,0,1
138,ScKS4E138,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"non-renewable resources, take many years to form and may run out",wrong,wrong,wrong,1,0,0,1,1,1,0
139,ScKS4E139,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources tat will run out over time,wrong,right,right,0,1,0,1,0,1,0
140,ScKS4E140,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resourses that will be used up,wrong,right,right,0,1,1,1,0,1,1
141,ScKS4E141,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resource that will runout,wrong,right,right,0,1,0,1,0,1,0
142,ScKS4E142,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources that will eventually run out,wrong,right,right,0,1,1,1,1,1,1
143,ScKS4E143,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,resources which will run out eventually,wrong,right,right,0,1,1,1,1,1,1
144,ScKS4E144,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that are used up faster than  the rate of production,right,right,right,1,1,0,0,0,0,1
145,ScKS4E145,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,a resource thst it used faster than it is being replaced,right,right,right,1,1,0,0,0,0,1
146,ScKS4E146,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"reasources that take too long to replenish so will eventually run out
",right,right,right,1,1,0,1,0,1,0
147,ScKS4E147,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,"resources that wiull eventually run out
",wrong,right,right,0,1,0,1,0,1,0
148,ScKS4E148,KS4,easy,science,The Earth's Resources 1,What are finite resources?,Resources that will run out,Resources that will eventually run out.,wrong,right,right,0,1,1,1,1,1,1
